switches_ok,always0,always1,quantiles_v_star,quantiles_action_rate,error
1662,572,80,-4,0,
1662,572,80,1.22,0,
1662,572,80,3.11333333333333,0.000904191356695437,7.09201885734992e-05
1662,572,80,Inf,0.10082833257967,2.54378357788998e-05
1662,572,80,Inf,0.999937545753028,3.61353466866001e-06
1662,572,80,-4,0,-8.89196018272979e-06
1662,572,80,1.22,0,-1.64050531497699e-05
1662,572,80,3.11333333333333,0.000904191356695437,-2.1170461092914e-05
1662,572,80,Inf,0.10082833257967,-2.4215403514021e-05
1662,572,80,Inf,0.999937545753028,-2.6291829657055e-05
1662,572,80,-4,0,-2.7792650145994e-05
1662,572,80,1.22,0,-2.8807429920298e-05
1662,572,80,3.11333333333333,0.000904191356695437,-2.9497776013666e-05
1662,572,80,Inf,0.10082833257967,-3.00320734243833e-05
1662,572,80,Inf,0.999937545753028,-3.03665728152673e-05
1662,572,80,-4,0,-3.06279553239454e-05
