logS,delta,sigma,v_star,action_rate,action_rate_cutoff,n_switches_a_star,switches_ok,always0,always1,n_v,dv
-3.4,2.02,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,2.08,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,2.14,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,2.2,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,2.26,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,2.32,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,2.38,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,2.44,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.4,2.5,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,0.1,1,-4,0.00824566262966346,,2,FALSE,FALSE,FALSE,1201,0.00666666666666993
-3.2,0.16,1,2.81333333333333,0.00244580782496152,0.00245153979540513,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.2,0.22,1,3.04,0.00116479968594335,0.0011828907431044,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.2,0.28,1,3.21333333333333,0.00063243401277238,0.000656019605417946,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.2,0.34,1,3.35333333333333,0.000372821628695475,0.00039922242260737,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.2,0.4,1,3.48,0.000222611069054212,0.000250706891280483,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.2,0.46,1,3.59333333333333,0.000134107640122384,0.000163237251724624,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.2,0.52,1,3.7,7.79943649979792e-05,0.000107799733477409,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.2,0.58,1,3.8,4.20981854607966e-05,7.23480439250857e-05,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.2,0.64,1,3.89333333333333,1.88934993935937e-05,4.94380708182529e-05,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.2,0.7,1,3.98666666666667,2.74948846290568e-06,3.35040312330337e-05,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3.2,0.76,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,0.82,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,0.88,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,0.94,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,1,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,1.06,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,1.12,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,1.18,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,1.24,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,1.3,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,1.36,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,1.42,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,1.48,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,1.54,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,1.6,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,1.66,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,1.72,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,1.78,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,1.84,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,1.9,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,1.96,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,2.02,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,2.08,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,2.14,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,2.2,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,2.26,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,2.32,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,2.38,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,2.44,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3.2,2.5,1,Inf,0,0,0,TRUE,TRUE,FALSE,1201,0.00666666666666993
-3,0.1,1,-4,0.0144675594127249,,2,FALSE,FALSE,FALSE,1201,0.00666666666666993
-3,0.16,1,2.69333333333333,0.00354132049922659,0.00353707520476365,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3,0.22,1,2.93333333333333,0.0016635533022441,0.00167671822747317,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3,0.28,1,3.11333333333333,0.000904191356695437,0.000924934791638243,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3,0.34,1,3.26,0.0005324045456545,0.000557061069024645,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
-3,0.4,1,3.38666666666667,0.00032682299657342,0.000353736446759512,1,TRUE,FALSE,FALSE,1201,0.00666666666666993
